Route State,Total_Shipments,Avg_Lead_Time,Lead_Time_StdDev,Delay_Frequency_Pct,Total_Sales,Total_Gross_Profit,Lead_Time_Score,Delay_Score,Route_Efficiency_Score
Secret Factory → Texas,16,3.25,1.5275252316519468,6.25,517.5,268.7,91.26984126984128,100.0,94.8
Wicked Choccy's → Louisiana,15,3.066666666666667,1.8309508328682538,13.33,220.5,143.54,100.0,83.81714285714285,93.5
Lot's O' Nuts → Rhode Island,30,3.2,1.8827712516943997,16.67,353.76,242.86,93.65079365079366,76.18285714285715,86.7
Wicked Choccy's → Rhode Island,21,3.2857142857142856,1.7928429140015907,14.29,282.25,183.83,89.56916099773244,81.62285714285714,86.4
Wicked Choccy's → Alabama,22,3.3636363636363638,1.8399134178763372,13.64,333.75,217.25,85.85858585858585,83.10857142857142,84.8
Wicked Choccy's → South Carolina,19,3.473684210526316,2.0102078679864475,15.79,307.0,200.16,80.61821219715956,78.19428571428571,79.6
Secret Factory → Washington,11,3.4545454545454546,1.6348477827391983,18.18,351.25,175.85,81.52958152958155,72.73142857142857,78.0
Lot's O' Nuts → Idaho,14,3.857142857142857,1.4064216928154862,7.14,146.5,100.9,62.35827664399093,97.96571428571428,76.6
Secret Factory → California,31,3.5806451612903225,1.857851690320249,16.13,1238.75,620.55,75.52483358934974,77.41714285714286,76.3
Secret Factory → Illinois,13,3.3846153846153846,2.364263857893951,23.08,546.25,273.65,84.85958485958487,61.53142857142857,75.5
Lot's O' Nuts → South Carolina,21,3.619047619047619,2.060975266134712,19.05,281.32,194.92000000000002,73.69614512471657,70.74285714285715,72.5
Lot's O' Nuts → Ohio,262,3.50381679389313,2.2535592820184007,23.66,3472.7400000000002,2400.24,79.18332727493033,60.205714285714286,71.6
Lot's O' Nuts → New Hampshire,13,3.769230769230769,1.5892265495016829,15.38,178.02,123.02,66.54456654456656,79.13142857142856,71.6
Lot's O' Nuts → Alberta,16,4.0625,1.2365947867699696,6.25,204.32,141.42000000000002,52.57936507936509,100.0,71.5
Lot's O' Nuts → Connecticut,47,3.5531914893617023,2.338789269075644,23.4,523.59,362.29,76.8321513002364,60.8,70.4
Secret Factory → Pennsylvania,19,3.6315789473684212,2.2412924425129126,21.05,762.5,382.9,73.09941520467837,66.17142857142858,70.3
Wicked Choccy's → Missouri,29,3.7241379310344827,1.688121350668038,20.69,362.25,235.82999999999998,68.69184455391354,66.99428571428571,68.0
Wicked Choccy's → Nebraska,14,3.5,2.312175133106021,28.57,185.75,121.21,79.36507936507937,48.98285714285714,67.2
Wicked Choccy's → Minnesota,45,3.7111111111111112,2.0848176530489777,22.22,595.25,387.87,69.31216931216932,63.497142857142855,67.0
Wicked Choccy's → Ohio,189,3.6560846560846563,2.186327804651209,24.34,2479.75,1615.73,71.93247669438145,58.651428571428575,66.6
Secret Factory → New York,24,3.6666666666666665,1.9708013524996608,25.0,1026.25,514.45,71.42857142857146,57.142857142857146,65.7
Wicked Choccy's → Connecticut,31,3.6451612903225805,2.4158971707804424,25.81,440.75,287.01,72.45263696876602,55.29142857142857,65.6
The Other Factory → California,21,3.7142857142857144,2.2834810518779687,23.81,233.75,33.75,69.1609977324263,59.862857142857145,65.4
Lot's O' Nuts → Missouri,36,4.0,1.7728105208558362,16.67,514.08,359.08,55.55555555555557,76.18285714285715,63.8
Lot's O' Nuts → Louisiana,24,3.75,2.1918822564378218,25.0,283.71000000000004,197.31,67.46031746031747,57.142857142857146,63.3
Wicked Choccy's → Nevada,12,3.8333333333333335,2.0816659994661326,25.0,151.5,98.82,63.492063492063494,57.142857142857146,61.0
Lot's O' Nuts → Ontario,28,4.0,1.539600717839002,21.43,348.32,239.22,55.55555555555557,65.30285714285715,59.5
Wicked Choccy's → Colorado,70,3.9571428571428573,2.0812183881794017,22.86,906.5,590.22,57.59637188208617,62.034285714285716,59.4
Lot's O' Nuts → Kentucky,77,3.948051948051948,1.8345808634765364,23.38,1039.13,715.73,58.02927231498661,60.84571428571429,59.2
Lot's O' Nuts → Delaware,43,3.9069767441860463,2.2340860865918826,25.58,631.59,436.19,59.98523440383908,55.817142857142855,58.3
Lot's O' Nuts → Florida,209,3.9186602870813396,2.070415724791371,26.79,2640.13,1820.73,59.42887521834892,53.05142857142857,56.9
Lot's O' Nuts → Washington,269,3.992565055762082,2.016707389396386,26.02,3492.91,2415.91,55.90960051926595,54.81142857142857,55.5
Wicked Choccy's → Washington,221,3.923076923076923,2.1550071795833867,28.51,3023.0,1969.6399999999999,59.21855921855924,49.12,55.2
Wicked Choccy's → North Carolina,101,4.099009900990099,1.9313464241044351,23.76,1376.25,896.75,50.840798365550846,59.97714285714286,54.5
Lot's O' Nuts → California,1125,3.961777777777778,2.1308103408282184,28.71,15044.9,10401.0,57.37566137566138,48.66285714285714,53.9
Wicked Choccy's → Maryland,41,4.024390243902439,2.1620338211745063,26.83,652.25,425.23,54.394115369725135,52.96,53.8
Lot's O' Nuts → Colorado,103,3.9029126213592233,2.1580427002753417,31.07,1447.66,999.0600000000001,60.17876406225922,43.26857142857143,53.4
