Route Region,Total_Shipments,Avg_Lead_Time,Lead_Time_StdDev,Delay_Frequency_Pct,Total_Sales,Total_Gross_Profit
The Other Factory → Gulf,19,3.1052631578947367,1.9690589078176766,10.53,262.5,26.5
Secret Factory → Pacific,63,3.3968253968253967,1.8797707696528776,15.87,3076.25,1558.05
Secret Factory → Interior,45,3.577777777777778,1.9941834611609024,20.0,1590.0,806.8
Secret Factory → Atlantic,72,3.8472222222222223,2.0463620913896645,25.0,2991.25,1499.85
The Other Factory → Pacific,32,3.90625,2.2340383656855223,28.12,386.25,61.25
Sugar Shack → Interior,8,4.0,1.8516401995451028,12.5,44.74,23.39
Lot's O' Nuts → Atlantic,1661,4.0144491270319085,2.0958440259942823,29.32,22166.13,15315.63
The Other Factory → Atlantic,38,4.026315789473684,2.0987363264240844,26.32,506.75,54.75
Lot's O' Nuts → Pacific,1813,4.029233314947601,2.0921711836652492,28.74,24294.04,16788.44
Secret Factory → Gulf,37,4.135135135135135,1.8583469679942581,27.03,930.0,480.0
Wicked Choccy's → Interior,950,4.14,2.02523073657153,30.42,12419.25,8088.99
Lot's O' Nuts → Gulf,897,4.154960981047938,2.071129248903439,31.44,12023.12,8313.42
Wicked Choccy's → Pacific,1342,4.157228017883756,2.089322467458052,31.67,18525.75,12067.41
Wicked Choccy's → Gulf,663,4.167420814479638,2.0249263496332937,29.71,8993.25,5857.51
Wicked Choccy's → Atlantic,1197,4.1720969089390145,2.0675361463232766,30.33,15414.5,10039.66
Lot's O' Nuts → Interior,1321,4.233156699470098,2.033095068609049,31.64,17856.86,12353.56
The Other Factory → Interior,11,4.2727272727272725,1.618079669911781,27.27,126.75,9.75
Sugar Shack → Pacific,3,4.666666666666667,2.081665999466133,33.33,19.240000000000002,10.79
Sugar Shack → Atlantic,18,4.722222222222222,2.080880909489326,38.89,118.61,63.81
Sugar Shack → Gulf,4,5.25,2.0615528128088303,50.0,38.39,23.240000000000002
