Route State,Total_Shipments,Avg_Lead_Time,Lead_Time_StdDev,Delay_Frequency_Pct,Total_Sales,Total_Gross_Profit
The Other Factory → North Carolina,1,0.0,0.0,0.0,9.0,7.0
Secret Factory → Connecticut,1,1.0,0.0,0.0,2.5,1.3
The Other Factory → Kentucky,2,1.0,1.4142135623730951,0.0,26.0,2.0
Lot's O' Nuts → West Virginia,2,2.0,2.8284271247461903,0.0,38.72,27.42
Secret Factory → New Mexico,2,2.0,2.8284271247461903,0.0,12.5,6.5
Secret Factory → Oregon,2,2.0,0.0,0.0,180.0,90.0
Secret Factory → Nebraska,1,2.0,0.0,0.0,2.5,1.3
Lot's O' Nuts → Manitoba,2,2.0,0.0,0.0,18.0,12.0
The Other Factory → Nevada,1,2.0,0.0,0.0,16.25,1.25
The Other Factory → Florida,3,2.3333333333333335,1.5275252316519465,0.0,39.0,3.0
Secret Factory → Alabama,3,2.3333333333333335,0.5773502691896257,0.0,150.0,75.2
Secret Factory → Rhode Island,3,2.3333333333333335,1.5275252316519468,0.0,142.5,71.3
The Other Factory → Oregon,2,2.5,0.7071067811865476,0.0,26.0,2.0
Secret Factory → Colorado,7,2.5714285714285716,2.14919697074224,14.29,171.25,103.85
Secret Factory → Massachusetts,2,3.0,2.8284271247461903,0.0,100.0,50.0
Secret Factory → Arkansas,2,3.0,1.4142135623730951,0.0,63.75,31.95
The Other Factory → New Hampshire,2,3.0,0.0,0.0,35.75,2.75
Secret Factory → Nevada,2,3.0,1.4142135623730951,0.0,202.5,101.3
Secret Factory → Minnesota,1,3.0,0.0,0.0,5.0,2.6
Sugar Shack → California,1,3.0,0.0,0.0,6.0,2.8
The Other Factory → Arizona,2,3.0,1.4142135623730951,0.0,38.75,18.75
Sugar Shack → Illinois,2,3.0,1.4142135623730951,0.0,12.0,6.3
Sugar Shack → Tennessee,1,3.0,0.0,0.0,1.5,0.6
The Other Factory → Louisiana,1,3.0,0.0,0.0,9.75,0.75
Wicked Choccy's → Louisiana,15,3.066666666666667,1.8309508328682538,13.33,220.5,143.54
Lot's O' Nuts → Rhode Island,30,3.2,1.8827712516943997,16.67,353.76,242.86
The Other Factory → Virginia,4,3.25,2.9860788111948193,25.0,55.25,4.25
Secret Factory → Texas,16,3.25,1.5275252316519468,6.25,517.5,268.7
Wicked Choccy's → Rhode Island,21,3.2857142857142856,1.7928429140015907,14.29,282.25,183.83
The Other Factory → Massachusetts,3,3.3333333333333335,2.0816659994661326,0.0,32.5,2.5
The Other Factory → Ohio,3,3.3333333333333335,3.214550253664318,33.33,29.25,2.25
Sugar Shack → Michigan,3,3.3333333333333335,2.0816659994661326,0.0,17.740000000000002,10.09
Wicked Choccy's → South Dakota,3,3.3333333333333335,3.2145502536643185,33.33,33.75,22.05
Wicked Choccy's → Alabama,22,3.3636363636363638,1.8399134178763372,13.64,333.75,217.25
Secret Factory → Illinois,13,3.3846153846153846,2.364263857893951,23.08,546.25,273.65
Secret Factory → Virginia,5,3.4,1.9493588689617927,20.0,93.75,47.15
Secret Factory → Washington,11,3.4545454545454546,1.6348477827391983,18.18,351.25,175.85
Wicked Choccy's → South Carolina,19,3.473684210526316,2.0102078679864475,15.79,307.0,200.16
Wicked Choccy's → Nebraska,14,3.5,2.312175133106021,28.57,185.75,121.21
Wicked Choccy's → North Dakota,2,3.5,0.7071067811865476,0.0,52.5,34.3
Secret Factory → Kentucky,2,3.5,0.7071067811865476,0.0,46.25,23.25
Sugar Shack → Ohio,2,3.5,4.949747468305833,50.0,18.46,9.86
Lot's O' Nuts → Ohio,262,3.50381679389313,2.2535592820184007,23.66,3472.7400000000002,2400.24
Lot's O' Nuts → Connecticut,47,3.5531914893617023,2.338789269075644,23.4,523.59,362.29
The Other Factory → Pennsylvania,7,3.5714285714285716,2.63673679998231,28.57,97.5,7.5
Secret Factory → California,31,3.5806451612903225,1.857851690320249,16.13,1238.75,620.55
Secret Factory → Arizona,5,3.6,2.4083189157584592,20.0,640.0,320.0
Lot's O' Nuts → South Carolina,21,3.619047619047619,2.060975266134712,19.05,281.32,194.92000000000002
Secret Factory → Pennsylvania,19,3.6315789473684212,2.2412924425129126,21.05,762.5,382.9
Wicked Choccy's → Connecticut,31,3.6451612903225805,2.4158971707804424,25.81,440.75,287.01
Wicked Choccy's → Ohio,189,3.6560846560846563,2.186327804651209,24.34,2479.75,1615.73
Secret Factory → New York,24,3.6666666666666665,1.9708013524996608,25.0,1026.25,514.45
Wicked Choccy's → Minnesota,45,3.7111111111111112,2.0848176530489777,22.22,595.25,387.87
The Other Factory → California,21,3.7142857142857144,2.2834810518779687,23.81,233.75,33.75
Wicked Choccy's → Missouri,29,3.7241379310344827,1.688121350668038,20.69,362.25,235.82999999999998
Lot's O' Nuts → Louisiana,24,3.75,2.1918822564378218,25.0,283.71000000000004,197.31
Lot's O' Nuts → New Hampshire,13,3.769230769230769,1.5892265495016829,15.38,178.02,123.02
Lot's O' Nuts → North Dakota,5,3.8,2.0493901531919194,40.0,57.160000000000004,39.66
Wicked Choccy's → Nevada,12,3.8333333333333335,2.0816659994661326,25.0,151.5,98.82
Lot's O' Nuts → Idaho,14,3.857142857142857,1.4064216928154862,7.14,146.5,100.9
Wicked Choccy's → Kansas,9,3.888888888888889,2.204792759220492,22.22,74.25,48.39
Lot's O' Nuts → Colorado,103,3.9029126213592233,2.1580427002753417,31.07,1447.66,999.0600000000001
Lot's O' Nuts → Delaware,43,3.9069767441860463,2.2340860865918826,25.58,631.59,436.19
Lot's O' Nuts → Florida,209,3.9186602870813396,2.070415724791371,26.79,2640.13,1820.73
Wicked Choccy's → Washington,221,3.923076923076923,2.1550071795833867,28.51,3023.0,1969.6399999999999
Lot's O' Nuts → Massachusetts,76,3.9342105263157894,2.1499489998031085,30.26,1003.24,690.54
Lot's O' Nuts → Kentucky,77,3.948051948051948,1.8345808634765364,23.38,1039.13,715.73
Wicked Choccy's → Colorado,70,3.9571428571428573,2.0812183881794017,22.86,906.5,590.22
Lot's O' Nuts → California,1125,3.961777777777778,2.1308103408282184,28.71,15044.9,10401.0
Lot's O' Nuts → Washington,269,3.992565055762082,2.016707389396386,26.02,3492.91,2415.91
Secret Factory → Utah,1,4.0,0.0,0.0,100.0,50.0
Secret Factory → Tennessee,3,4.0,0.0,0.0,62.5,31.7
The Other Factory → South Carolina,1,4.0,0.0,0.0,6.5,0.5
Wicked Choccy's → Utah,23,4.0,2.1320071635561044,30.43,362.5,236.1
Wicked Choccy's → Idaho,7,4.0,2.309401076758503,28.57,78.75,51.25
The Other Factory → Rhode Island,1,4.0,0.0,0.0,22.75,1.75
The Other Factory → Alabama,2,4.0,0.0,0.0,35.75,2.75
Secret Factory → Delaware,1,4.0,0.0,0.0,60.0,30.0
Sugar Shack → Delaware,1,4.0,0.0,0.0,4.5,2.1
Lot's O' Nuts → Ontario,28,4.0,1.539600717839002,21.43,348.32,239.22
Lot's O' Nuts → Missouri,36,4.0,1.7728105208558362,16.67,514.08,359.08
Lot's O' Nuts → Kansas,15,4.0,2.4784787961282104,33.33,188.93,130.83
Lot's O' Nuts → Wyoming,1,4.0,0.0,0.0,13.96,9.96
Sugar Shack → Arizona,1,4.0,0.0,0.0,11.25,6.75
The Other Factory → Indiana,1,4.0,0.0,0.0,19.5,1.5
The Other Factory → Delaware,2,4.0,0.0,0.0,26.0,2.0
The Other Factory → Maryland,1,4.0,0.0,0.0,3.25,0.25
The Other Factory → Connecticut,2,4.0,2.8284271247461903,50.0,9.75,0.75
Wicked Choccy's → Texas,388,4.005154639175258,2.079796806514208,30.41,5140.5,3347.74
Wicked Choccy's → Maryland,41,4.024390243902439,2.1620338211745063,26.83,652.25,425.23
Lot's O' Nuts → New York,645,4.027906976744186,2.0707582831198916,29.3,8757.81,6055.01
Lot's O' Nuts → Virginia,109,4.036697247706422,2.0454403017107894,28.44,1538.84,1059.24
Wicked Choccy's → Arizona,105,4.038095238095238,2.192310905466446,33.33,1429.5,931.46
Wicked Choccy's → Florida,161,4.043478260869565,2.1282264508475026,29.81,2009.25,1308.59
Lot's O' Nuts → Alberta,16,4.0625,1.2365947867699696,6.25,204.32,141.42000000000002
Lot's O' Nuts → Maryland,60,4.083333333333333,2.2039384367010713,31.67,812.74,567.54
Lot's O' Nuts → Arkansas,31,4.096774193548387,1.955417069061865,29.03,434.69,299.69
Wicked Choccy's → North Carolina,101,4.099009900990099,1.9313464241044351,23.76,1376.25,896.75
Lot's O' Nuts → Arizona,111,4.099099099099099,2.280171265317805,31.53,1468.05,1013.15
Sugar Shack → New York,9,4.111111111111111,1.7638342073763937,22.22,56.97,29.12
Secret Factory → Georgia,7,4.142857142857143,1.8644544714716087,28.57,317.5,159.1
Lot's O' Nuts → Wisconsin,58,4.155172413793103,2.1909040362525594,34.48,768.25,531.95
Lot's O' Nuts → Michigan,147,4.156462585034014,2.1540044907551312,32.65,2103.76,1450.86
Lot's O' Nuts → Illinois,267,4.1610486891385765,2.0428445691512316,29.59,3539.21,2452.51
Wicked Choccy's → Illinois,210,4.1761904761904765,2.075697787072614,30.48,2801.5,1825.22
Wicked Choccy's → New York,436,4.178899082568807,2.138882440794581,32.8,5518.25,3594.11
Secret Factory → Michigan,5,4.2,2.6832815729997477,40.0,82.5,41.7
Lot's O' Nuts → North Carolina,143,4.2027972027972025,2.114868359235045,34.27,2045.6100000000001,1417.01
Wicked Choccy's → Virginia,106,4.2075471698113205,1.9938810258821524,28.3,1490.0,970.2
Wicked Choccy's → Iowa,14,4.214285714285714,1.7619295117556788,21.43,172.5,112.5
Wicked Choccy's → Georgia,65,4.2153846153846155,2.301441855747091,38.46,862.25,561.43
The Other Factory → Texas,9,4.222222222222222,1.7873008824606014,33.33,100.75,7.75
Wicked Choccy's → Pennsylvania,227,4.224669603524229,1.9861710509048547,29.96,2804.25,1826.99
Wicked Choccy's → California,823,4.228432563791008,2.0778798729551773,33.05,11394.0,7421.32
Lot's O' Nuts → Texas,569,4.22847100175747,2.029838494308856,31.46,7642.34,5278.34
Secret Factory → Ohio,13,4.230769230769231,1.9215378456610455,30.77,768.75,384.95
Lot's O' Nuts → Utah,29,4.241379310344827,1.9576803404210137,34.48,393.91,270.11
Lot's O' Nuts → Nevada,24,4.25,1.8939262186630001,20.83,389.21000000000004,268.11
Secret Factory → Indiana,4,4.25,1.707825127659933,25.0,21.25,11.05
Wicked Choccy's → Kentucky,58,4.275862068965517,1.8523868286881655,29.31,769.25,501.39
Wicked Choccy's → Oklahoma,25,4.28,2.2457367016935295,32.0,308.25,200.91
The Other Factory → New York,14,4.285714285714286,2.1277858274442303,28.57,181.75,29.75
Lot's O' Nuts → Georgia,110,4.290909090909091,2.231325991363232,37.27,1474.09,1027.79
Lot's O' Nuts → Nebraska,23,4.304347826086956,2.3048325241602434,43.48,295.28000000000003,205.38
Wicked Choccy's → New Jersey,59,4.305084745762712,1.859312417295201,27.12,672.0,437.56
Lot's O' Nuts → Pennsylvania,331,4.314199395770393,1.9888501801062664,33.23,4338.55,2993.65
Wicked Choccy's → Indiana,54,4.333333333333333,1.5171970183377075,18.52,708.25,461.31
Secret Factory → Maryland,3,4.333333333333333,2.516611478423583,33.33,8.75,4.55
Wicked Choccy's → Arkansas,27,4.333333333333333,2.1122354181147664,40.74,393.5,256.38
The Other Factory → Tennessee,3,4.333333333333333,1.5275252316519468,33.33,42.25,3.25
Wicked Choccy's → New Mexico,17,4.352941176470588,1.656093916063799,29.41,229.5,149.26
Lot's O' Nuts → Indiana,90,4.366666666666666,1.945608711541703,35.56,1253.78,869.58
Lot's O' Nuts → Quebec,24,4.375,2.392242898820377,41.67,242.93,165.83
Wicked Choccy's → Alberta,8,4.375,1.3024701806293193,25.0,146.0,94.88
Secret Factory → Wisconsin,5,4.4,2.408318915758459,40.0,415.0,207.8
Lot's O' Nuts → Mississippi,30,4.4,2.237609561948674,33.33,448.43,312.33
Lot's O' Nuts → Oklahoma,41,4.414634146341464,2.1791696785254877,39.02,569.4,395.0
Wicked Choccy's → Oregon,43,4.4186046511627906,1.8927500544311922,30.23,628.25,409.51
Wicked Choccy's → Massachusetts,54,4.425925925925926,1.797292007562277,31.48,671.25,436.95
Wicked Choccy's → Montana,7,4.428571428571429,2.760262237369417,57.14,109.5,71.46
Lot's O' Nuts → Oregon,77,4.428571428571429,1.8240251284379092,29.87,1085.9,751.6
Lot's O' Nuts → New Jersey,65,4.430769230769231,1.7586325544406551,30.77,825.88,567.98
The Other Factory → Colorado,2,4.5,3.5355339059327378,50.0,19.5,1.5
Lot's O' Nuts → Iowa,16,4.5,1.591644851508443,25.0,227.87,157.47
The Other Factory → Georgia,2,4.5,0.7071067811865476,0.0,39.0,3.0
Wicked Choccy's → Delaware,49,4.530612244897959,1.9589755062311542,36.73,601.5,391.42
Wicked Choccy's → Michigan,100,4.59,1.8753854822597689,38.0,1127.0,733.56
Wicked Choccy's → Wisconsin,47,4.638297872340425,1.9496435785179411,42.55,737.25,479.83
Lot's O' Nuts → Alabama,34,4.647058823529412,1.905054726664421,35.29,475.61,326.91
Lot's O' Nuts → Tennessee,109,4.660550458715596,1.9824236171649352,42.2,1361.56,941.76
Secret Factory → Florida,7,4.714285714285714,1.7043362064926935,28.57,78.75,52.15
Lot's O' Nuts → Minnesota,43,4.72093023255814,1.563353864146061,32.56,561.21,388.81
Wicked Choccy's → Tennessee,67,4.776119402985074,1.7040139379354928,35.82,915.75,596.21
Wicked Choccy's → Vermont,5,4.8,1.3038404810405297,20.0,51.75,33.69
Wicked Choccy's → New Hampshire,11,4.818181818181818,1.6624188291872672,36.36,208.25,135.51
Wicked Choccy's → Mississippi,22,4.863636363636363,2.007022303846803,45.45,315.75,205.61
Wicked Choccy's → Manitoba,10,4.9,2.131770260709264,50.0,120.25,78.27
Wicked Choccy's → Quebec,24,4.916666666666667,1.501207243656184,29.17,254.75,165.53
Lot's O' Nuts → New Mexico,18,4.944444444444445,1.924217861647939,44.44,260.71,179.41
Sugar Shack → New Jersey,1,5.0,0.0,0.0,5.97,3.72
Secret Factory → Quebec,2,5.0,1.4142135623730951,50.0,100.0,50.0
The Other Factory → Missouri,1,5.0,0.0,0.0,6.5,0.5
Secret Factory → Mississippi,1,5.0,0.0,0.0,80.0,40.0
Sugar Shack → Connecticut,1,5.0,0.0,0.0,3.98,2.48
Secret Factory → Vermont,1,5.0,0.0,0.0,7.5,3.9
Secret Factory → North Carolina,4,5.0,3.366501646120693,75.0,20.0,10.4
Lot's O' Nuts → District of Columbia,8,5.0,1.6035674514745462,50.0,126.0,85.3
Secret Factory → Louisiana,2,5.0,1.4142135623730951,50.0,11.25,5.85
Wicked Choccy's → District of Columbia,2,5.0,0.0,0.0,16.25,10.55
Lot's O' Nuts → British Columbia,18,5.111111111111111,1.4907119849998598,44.44,253.4,173.8
Wicked Choccy's → Ontario,30,5.166666666666667,1.4403862827999163,40.0,466.25,303.35
Lot's O' Nuts → New Brunswick,4,5.25,0.9574271077563382,50.0,97.72,69.72
Wicked Choccy's → Prince Edward Island,4,5.25,1.2583057392117916,25.0,52.0,33.76
Wicked Choccy's → Nova Scotia,6,5.333333333333333,1.2110601416389968,50.0,87.5,56.900000000000006
Sugar Shack → Texas,3,5.333333333333333,1.5275252316519468,33.33,15.0,7.0
Lot's O' Nuts → South Dakota,9,5.333333333333333,1.414213562373095,33.33,117.59,82.09
Secret Factory → Alberta,2,5.5,2.1213203435596424,50.0,180.0,90.0
Lot's O' Nuts → Newfoundland and Labrador,6,5.5,1.378404875209022,50.0,162.0,112.5
Wicked Choccy's → New Brunswick,4,5.5,1.7320508075688772,50.0,75.0,49.0
Wicked Choccy's → Maine,2,5.5,2.1213203435596424,50.0,55.25,36.07
Lot's O' Nuts → Vermont,5,5.6,0.5477225575051661,60.0,103.19,72.39
Lot's O' Nuts → Maine,6,5.666666666666667,1.0327955589886446,66.67,71.23,49.03
Wicked Choccy's → British Columbia,4,5.75,1.5,50.0,37.5,24.5
Lot's O' Nuts → Prince Edward Island,6,5.833333333333333,0.983192080250175,50.0,78.1,54.9
Lot's O' Nuts → Montana,8,5.875,1.3562026818605375,62.5,92.61,64.01
Wicked Choccy's → Saskatchewan,2,6.0,1.4142135623730951,50.0,29.25,18.99
The Other Factory → New Jersey,3,6.0,1.7320508075688772,66.67,68.25,5.25
Sugar Shack → Rhode Island,1,6.0,0.0,100.0,4.5,2.1
Sugar Shack → Florida,3,6.0,1.7320508075688772,66.67,36.89,22.64
Secret Factory → New Jersey,2,6.0,1.4142135623730951,50.0,6.25,3.25
The Other Factory → Washington,4,6.25,0.9574271077563381,75.0,52.0,4.0
Secret Factory → South Carolina,1,7.0,0.0,100.0,6.25,3.25
